Rk,Team,W,L,Pace
,,,,
1,Golden State Warriors*,67,15,98.3
2,Los Angeles Clippers*,56,26,94.7
3,San Antonio Spurs*,55,27,93.8
4,Atlanta Hawks*,60,22,93.9
5,Portland Trail Blazers*,51,31,94.2
6,Cleveland Cavaliers*,53,29,92.3
7,Houston Rockets*,56,26,96.5
8,Memphis Grizzlies*,55,27,92.0
9,Dallas Mavericks*,50,32,95.2
10,Chicago Bulls*,50,32,92.8
11,Oklahoma City Thunder,45,37,95.7
12,Toronto Raptors*,49,33,92.8
13,New Orleans Pelicans*,45,37,91.4
14,Utah Jazz,38,44,90.4
15,Washington Wizards*,46,36,93.7
16,Milwaukee Bucks*,41,41,94.1
17,Indiana Pacers,38,44,93.2
18,Phoenix Suns,39,43,96.3
19,Boston Celtics*,40,42,95.8
20,Detroit Pistons,32,50,92.8
21,Miami Heat,37,45,90.9
22,Denver Nuggets,30,52,96.1
23,Sacramento Kings,29,53,95.4
24,Brooklyn Nets*,38,44,92.7
25,Charlotte Hornets,33,49,93.0
26,Orlando Magic,25,57,93.8
27,Los Angeles Lakers,21,61,94.0
28,Minnesota Timberwolves,16,66,94.4
29,Philadelphia 76ers,18,64,95.7
30,New York Knicks,17,65,91.2